age,annual_income,loan_amount,loan_term,credit_score,num_credit_lines,delinq_2yrs,dti_ratio,employment_years,home_ownership,loan_purpose,num_inquiries,default
45,106259,8195,12,803,2,1,0.5028386883703541,7.633152997121763,RENT,medical,0,0
69,87623,20024,12,625,3,0,0.6220509625692805,11.727357409962824,RENT,other,1,0
47,43244,14761,24,647,9,0,0.314301300904099,18.834863300295115,RENT,major_purchase,3,0
62,173873,9936,36,764,13,1,0.3305585082074472,1.4837063871794083,MORTGAGE,other,1,0
48,57590,22359,24,625,11,0,0.425064076863334,11.519012229753045,RENT,home_improvement,1,0
36,121516,20942,48,555,13,0,0.5739862339208156,3.463942771510621,RENT,debt_consolidation,1,0
35,113318,4175,36,616,10,0,0.2770555084243179,1.3577185497449378,RENT,home_improvement,1,0
67,62867,13021,48,759,7,0,0.4538976975425506,1.355509355720116,MORTGAGE,debt_consolidation,1,0
64,76932,27233,36,655,13,0,0.2265771101713417,7.703678632134834,MORTGAGE,debt_consolidation,2,0
23,71285,31131,48,804,1,1,0.3994773485398254,2.346031881533653,MORTGAGE,home_improvement,1,0
57,24672,17974,24,709,3,0,0.49559062649275554,3.9657711435325753,OWN,debt_consolidation,1,0
27,50735,11085,24,598,9,1,0.1563709090178305,4.797993346313691,OWN,debt_consolidation,1,0
41,93390,18714,36,654,7,0,0.2712282916972673,3.300160800505447,RENT,debt_consolidation,3,0
29,122481,25494,48,581,12,0,0.4932174645042502,2.9370772365042708,OWN,debt_consolidation,1,0
59,31812,14656,60,596,13,0,0.4424241845772192,0.0,RENT,debt_consolidation,2,0
38,67325,16040,36,850,13,0,0.5053919210472282,7.434766450559345,MORTGAGE,major_purchase,1,0
24,53665,10939,36,731,13,2,0.47726594696811,7.3383574477922595,RENT,debt_consolidation,1,0
45,45673,4585,12,718,14,0,0.29883447081249415,3.013275751322441,MORTGAGE,medical,0,0
34,60694,11620,36,600,2,0,0.6798785222592036,8.801921351941855,OWN,medical,1,0
29,55870,7772,60,775,6,0,0.3705364986130092,13.984537660328431,OWN,major_purchase,4,0
46,67835,7792,24,737,9,1,0.05,7.117899164171419,OWN,debt_consolidation,1,0
22,116428,42069,48,800,4,0,0.3076480441434051,13.65128889578114,MORTGAGE,major_purchase,1,0
40,78470,28602,12,796,10,1,0.2796243114501007,18.1906596021356,OWN,debt_consolidation,1,0
48,59062,3446,48,531,2,0,0.46928737510509166,19.652623445601368,RENT,major_purchase,0,0
67,150057,5608,24,561,3,0,0.2823222027202804,1.0588195674499952,RENT,debt_consolidation,1,0
27,95411,9988,36,569,7,0,0.5148454993728706,1.0846849679066484,RENT,major_purchase,3,0
64,46377,8002,60,574,4,1,0.43371490586100614,4.777850016371444,RENT,major_purchase,0,0
28,23617,17221,12,675,7,4,0.19998643077949094,7.643576006299203,RENT,home_improvement,1,0
67,27100,4940,60,604,5,0,0.32894399965828625,14.933259999217903,MORTGAGE,home_improvement,1,0
55,85814,28762,60,815,14,1,0.23366998335868988,10.136206105454775,MORTGAGE,debt_consolidation,1,0
34,33584,12897,60,802,8,0,0.3777137970280504,0.9835643516375008,RENT,home_improvement,1,0
37,26773,10173,60,649,8,0,0.23277636991473183,3.9417129576283583,RENT,home_improvement,0,0
56,31105,13207,24,806,5,0,0.36116528457635927,6.7899989601724275,OWN,debt_consolidation,3,0
60,32453,9566,60,769,7,0,0.30915413735143826,0.0,RENT,debt_consolidation,1,0
24,81665,2631,60,613,11,0,0.3271665117980264,7.0683422877045725,MORTGAGE,debt_consolidation,0,0
22,44620,13487,24,489,6,0,0.6576410569697149,1.057822044703773,RENT,debt_consolidation,0,0
26,21516,10336,48,632,13,0,0.2959272159939193,0.0,MORTGAGE,major_purchase,2,0
62,49942,6225,24,598,8,0,0.059835036857421475,2.2650736026519285,RENT,home_improvement,2,0
24,56014,32142,36,666,9,0,0.5023739217101522,9.055105274461678,RENT,debt_consolidation,0,0
49,36768,22823,24,657,5,0,0.5011933852703012,9.020578554932596,MORTGAGE,debt_consolidation,0,0
38,98079,94003,48,655,7,0,0.05315897393047608,7.483269583437199,RENT,home_improvement,2,0
46,38079,26052,36,691,14,0,0.2448650568187899,11.958068302704387,RENT,medical,1,0
64,95320,7984,36,552,1,2,0.41537158352697845,11.427916171067173,RENT,debt_consolidation,0,0
54,70127,6472,12,682,11,0,0.42863048918255997,8.021906710351388,OWN,home_improvement,2,0
30,85473,8996,60,614,8,0,0.3492914354820919,7.331909250128523,RENT,medical,0,0
56,25358,7837,36,665,3,0,0.35267380683999267,7.647733526100482,MORTGAGE,debt_consolidation,1,0
34,51999,14574,36,726,1,0,0.2092118190375223,6.26177410031459,MORTGAGE,debt_consolidation,2,0
51,47491,3900,48,552,6,0,0.05,0.0,MORTGAGE,other,2,0
68,20885,22422,36,627,14,0,0.6574260977275305,12.677424224099097,RENT,debt_consolidation,1,0
35,95133,14370,48,640,13,0,0.20469990834399285,8.987614159468382,MORTGAGE,home_improvement,2,0
28,30018,20454,60,608,8,0,0.37647585350967233,0.9183627708646949,MORTGAGE,home_improvement,2,0
34,34004,5349,12,721,11,0,0.32617280065109955,14.139083096362185,RENT,debt_consolidation,0,0
43,26689,16274,12,592,3,0,0.4845796328410319,4.050100658936147,RENT,debt_consolidation,0,0
60,74660,37772,60,605,1,0,0.36723458202232373,6.461154986706889,MORTGAGE,home_improvement,1,0
41,19622,6711,60,593,3,1,0.3730161429638,12.117877977841268,MORTGAGE,major_purchase,3,0
36,71020,6566,24,737,5,1,0.05,8.100696791947945,RENT,debt_consolidation,2,0
65,91739,23613,36,610,11,0,0.224999139118662,13.676879209579496,OWN,major_purchase,1,0
38,67663,6153,36,686,8,4,0.4616949569898495,5.239492504786051,MORTGAGE,home_improvement,1,0
67,75175,11085,36,808,9,0,0.4482002337607894,15.455866056401678,RENT,debt_consolidation,1,0
44,77321,43503,48,644,13,0,0.20725207645741825,3.110985500837389,RENT,major_purchase,0,0
46,27732,6641,24,738,12,0,0.11329571259183169,13.58811164654809,MORTGAGE,debt_consolidation,1,0
45,115941,45961,36,783,9,0,0.36898689600843954,0.0,RENT,home_improvement,1,0
65,37195,10212,48,732,4,2,0.05,1.4990397433292504,MORTGAGE,home_improvement,2,0
61,47106,5448,48,648,8,0,0.17769886214933558,8.489830692446596,MORTGAGE,home_improvement,1,0
49,40151,21654,12,701,11,1,0.6140241612732966,4.9977728692844625,RENT,debt_consolidation,1,1
35,65836,14562,48,547,5,0,0.5667600993310653,6.626256900487184,RENT,major_purchase,0,0
65,35496,13501,60,587,3,0,0.4230874038147717,7.208254600803556,RENT,major_purchase,1,0
21,51029,7222,48,601,5,0,0.39610044717218845,1.0454869593647267,RENT,home_improvement,0,0
45,23360,14477,60,829,2,1,0.05747438232134017,1.4203519256371653,MORTGAGE,medical,0,0
27,98597,2555,60,584,11,0,0.2388999145026325,8.160610244042104,OWN,other,0,0
29,73309,15914,12,583,11,0,0.30572471030513354,3.6683352408911007,MORTGAGE,home_improvement,1,0
44,41136,37714,12,566,11,0,0.24208793757482167,13.705169294805842,MORTGAGE,debt_consolidation,3,0
21,36993,3254,48,694,6,2,0.2974634997638203,6.0402642228360754,OWN,major_purchase,2,0
64,72169,9648,12,661,1,1,0.5448836636519441,10.593756215534153,MORTGAGE,debt_consolidation,1,0
28,32068,6636,12,736,6,0,0.26872654080930164,9.214258346535537,MORTGAGE,home_improvement,1,0
44,52850,3988,36,703,13,2,0.29885912291648514,3.9941947141365697,MORTGAGE,home_improvement,1,0
31,98404,2585,48,539,5,0,0.46092969300256265,0.0,RENT,other,0,0
37,30129,5194,48,585,13,0,0.1370786422095795,12.924706838105235,MORTGAGE,other,3,0
28,61154,11004,48,759,9,0,0.22396931317417298,2.105454616514286,OWN,major_purchase,2,0
55,59244,33500,12,633,13,0,0.23934161183647357,4.981209722606278,MORTGAGE,home_improvement,3,0
55,46239,3951,12,745,14,0,0.35833882198276207,6.24578779216713,OWN,home_improvement,0,0
53,36233,16907,60,638,7,1,0.29825568987595014,6.744942159481595,RENT,debt_consolidation,2,0
25,101608,15926,24,572,6,0,0.3029988635979299,11.809793312695092,RENT,medical,0,0
62,34250,50897,24,625,11,0,0.25027190193462573,7.029120289616385,RENT,major_purchase,1,0
59,16527,21095,24,572,12,1,0.18937546096778676,6.363229548703346,RENT,major_purchase,2,0
61,71992,22089,36,604,7,1,0.44137143863158657,12.092279782725065,OWN,debt_consolidation,2,0
48,23842,23375,12,666,10,0,0.2993293821556618,10.003261859433925,MORTGAGE,debt_consolidation,1,0
27,74245,6378,60,690,5,0,0.4428528470221059,3.322147770096725,RENT,home_improvement,1,0
29,109200,8448,60,522,1,0,0.18325590042782786,1.2642231126058352,RENT,debt_consolidation,3,0
28,71528,32646,24,648,9,3,0.2502136763375536,2.881501124000403,MORTGAGE,debt_consolidation,1,0
32,93232,2589,36,603,5,0,0.316822545822985,6.753901249058926,RENT,debt_consolidation,1,0
54,164724,7739,36,598,4,0,0.33081994447756835,0.7697311241478895,MORTGAGE,other,0,0
53,87557,4607,24,660,6,1,0.4631553088898315,7.453765235812339,RENT,major_purchase,3,0
68,59775,16113,24,605,5,1,0.2854236065611462,6.354008451048295,RENT,home_improvement,2,0
43,130661,9534,12,760,1,0,0.4620113364216313,0.0,RENT,debt_consolidation,0,0
44,140486,22043,36,745,2,0,0.40624160128395415,0.0,MORTGAGE,debt_consolidation,0,0
57,141671,12244,60,744,4,0,0.3339721084875576,0.0,MORTGAGE,debt_consolidation,1,0
55,36487,3878,24,610,8,3,0.20730518052552202,5.280484694778454,MORTGAGE,home_improvement,1,0
64,21754,4024,12,573,5,0,0.463531289819498,12.370068226730002,RENT,medical,5,0
60,35174,13295,60,656,7,0,0.2110493799029524,0.0,MORTGAGE,debt_consolidation,1,0
42,74770,7209,36,637,2,0,0.34680794297640816,0.38856590103317856,MORTGAGE,debt_consolidation,2,0
47,53932,8724,24,601,8,0,0.341908933559588,6.181310663634093,RENT,debt_consolidation,0,0
55,43308,28303,24,555,5,0,0.3189357286074076,1.6812348557328622,MORTGAGE,major_purchase,1,0
21,68616,24519,12,646,4,1,0.2916020415522028,1.6566361646660406,MORTGAGE,medical,2,0
55,20282,56285,12,617,9,2,0.2266884957557493,9.707970530865797,RENT,major_purchase,1,0
57,53353,10372,36,705,6,0,0.10745953439448824,4.5255227771353965,RENT,home_improvement,4,0
67,95901,7999,24,703,14,0,0.5605707099260527,0.0,MORTGAGE,debt_consolidation,3,0
34,68158,18667,12,738,4,0,0.2762414803614126,0.0,OWN,major_purchase,2,0
23,74242,8530,24,549,8,0,0.3307831857323796,18.042038850318654,MORTGAGE,debt_consolidation,4,0
21,127825,8756,36,682,3,0,0.3298658924099089,12.641545272813355,OWN,debt_consolidation,1,0
25,47113,11365,24,591,14,0,0.5143406505843122,4.741833269689916,RENT,debt_consolidation,1,0
46,33128,50121,60,552,13,0,0.639979133227646,7.439290058319687,OWN,debt_consolidation,1,0
34,100078,23462,24,615,10,0,0.373977112938303,4.557344689515059,MORTGAGE,debt_consolidation,2,0
59,98979,25515,48,735,2,2,0.3264495997314623,9.552283653956255,RENT,major_purchase,2,0
47,68526,48352,48,620,7,1,0.18148144892608814,2.7289281614105967,RENT,debt_consolidation,1,0
29,44523,27502,36,775,14,1,0.13346173258808525,4.284133917615883,RENT,medical,1,0
35,49061,5403,36,693,12,3,0.08390376055338483,9.277004200972483,OWN,medical,1,0
35,22786,27171,36,618,4,3,0.23062325607147977,14.269295522232037,MORTGAGE,home_improvement,1,0
46,95584,30073,60,742,4,0,0.05,10.707075473310525,OWN,debt_consolidation,0,0
62,93581,22504,60,685,10,0,0.5118244930610167,13.169569387954638,MORTGAGE,home_improvement,1,0
33,22314,11425,24,575,9,0,0.41346443659901366,5.437913312444104,RENT,medical,0,0
52,82502,20682,12,798,2,1,0.3122539227972829,3.884947963115283,OWN,debt_consolidation,2,0
59,62471,13145,48,670,1,0,0.5164075971141184,0.0,OWN,medical,0,0
69,26550,6109,48,651,7,3,0.18932658838950875,7.360991786706419,MORTGAGE,major_purchase,2,0
52,23775,7452,48,581,12,0,0.2270028416953168,8.895235156782201,MORTGAGE,other,0,0
24,61334,23458,24,744,8,0,0.05993100795473827,5.499973021363972,MORTGAGE,medical,2,0
50,38614,6472,24,691,3,0,0.4661530542530318,3.1164933695013266,MORTGAGE,debt_consolidation,0,0
57,146088,6979,36,700,2,1,0.22844880705360893,13.21701719921566,MORTGAGE,debt_consolidation,2,0
43,86817,24409,12,609,4,0,0.35235434199137355,10.15902138598327,RENT,debt_consolidation,2,0
59,65134,14868,36,716,2,0,0.5003864600862016,13.564127252595057,OWN,debt_consolidation,2,0
65,67093,21199,24,722,12,0,0.5556276133249132,2.232104524918978,MORTGAGE,major_purchase,1,1
35,108936,4997,60,596,2,0,0.34562804727641444,3.458829367259884,MORTGAGE,other,2,0
63,81463,20734,36,536,5,0,0.4076356154407034,13.015886216257982,RENT,other,0,0
49,66161,7879,24,696,10,0,0.21442246309345087,6.763264601221046,MORTGAGE,debt_consolidation,1,0
56,27223,5922,24,524,5,0,0.60250600145113,4.154479441607226,RENT,debt_consolidation,2,0
33,307788,8917,60,662,8,0,0.32507741595509504,4.502424881185801,RENT,home_improvement,1,0
52,25288,39721,60,614,9,3,0.36204274278021803,6.944597369328481,MORTGAGE,debt_consolidation,0,0
27,40638,9980,60,747,2,3,0.28897203916051606,12.01475907917705,MORTGAGE,debt_consolidation,1,0
42,18163,77739,12,618,1,0,0.5298873497620634,6.197435739542057,OWN,medical,0,0
48,67729,2566,24,738,3,0,0.3799390884624784,10.95266415088889,RENT,medical,2,0
22,53673,3877,60,608,6,0,0.4641401866120436,9.336888884230241,MORTGAGE,medical,0,0
62,77587,38536,12,729,14,4,0.40309372099683227,2.608304799095131,OWN,home_improvement,0,0
65,17267,47121,48,814,5,0,0.31693859251759926,2.6043531600643837,RENT,home_improvement,3,0
26,95582,6695,48,564,8,0,0.4894202841949387,4.748667040342609,RENT,major_purchase,0,0
48,30198,14116,48,673,8,0,0.4017974291863071,0.31581172668865864,RENT,debt_consolidation,1,0
48,44828,23617,24,850,2,0,0.20585314087291492,4.429305721003035,MORTGAGE,medical,0,0
64,85728,11119,12,655,14,0,0.20161829242859294,14.567167083656923,RENT,debt_consolidation,1,0
64,57340,15061,12,654,9,1,0.3723240093547451,6.843048320863149,RENT,major_purchase,0,0
40,59824,13477,48,713,14,0,0.4861186853581441,3.167736669562733,MORTGAGE,major_purchase,2,0
50,79182,4084,36,653,14,0,0.5959130822759605,16.57872325910239,MORTGAGE,debt_consolidation,0,0
31,63403,10140,48,513,4,0,0.08341798136287959,2.3469134013689796,RENT,major_purchase,3,0
48,39948,13492,24,740,14,1,0.35384897736480814,2.1905851659730597,RENT,debt_consolidation,2,0
45,44361,14508,48,489,1,0,0.42344714932624944,13.147428409033497,OWN,home_improvement,2,0
59,55666,3346,48,616,14,0,0.39435037024921443,10.306590298001598,RENT,major_purchase,0,0
53,28643,24415,12,746,2,1,0.5013990657550563,6.349705737368069,RENT,major_purchase,1,0
21,89108,14817,48,621,14,2,0.4483300964737253,11.159544499945806,RENT,other,0,0
47,58290,5742,60,594,11,0,0.202174972462949,8.503000006145836,MORTGAGE,debt_consolidation,2,0
33,51270,56345,60,720,6,0,0.19778124669639033,1.0690379213058714,MORTGAGE,home_improvement,0,0
61,100257,10124,36,581,5,0,0.3968682284227586,0.0,MORTGAGE,medical,2,0
23,45612,10664,24,552,12,2,0.4985758136633788,4.163274241463549,MORTGAGE,home_improvement,1,0
59,43938,22322,24,671,7,0,0.3715126329429043,12.424624179491397,MORTGAGE,medical,2,0
26,36651,60306,12,635,9,0,0.11331003956475824,4.857649558266924,OWN,debt_consolidation,0,0
28,60224,23036,24,550,6,0,0.19292428770255907,9.300485991746221,OWN,major_purchase,2,0
47,58986,25871,36,700,6,0,0.4537273783797996,7.922427242225336,OWN,medical,1,0
29,32867,5995,60,687,2,0,0.2977032363624301,0.0,MORTGAGE,medical,1,0
57,44063,14322,12,621,7,3,0.3676935954804932,4.968021531468418,RENT,medical,0,0
53,32999,8727,60,626,2,0,0.5098127058727636,8.79439665223289,RENT,debt_consolidation,1,0
62,32115,23465,36,687,13,3,0.16966864285700667,3.064268722478166,MORTGAGE,debt_consolidation,0,0
64,17362,25275,12,745,7,0,0.28786360161470687,5.187309214860241,RENT,debt_consolidation,0,0
44,42678,49344,48,627,8,3,0.2715690779939084,8.958735460485556,RENT,debt_consolidation,1,0
35,17653,2376,24,702,12,1,0.40331038047918,7.363149995714898,RENT,home_improvement,0,0
52,37134,8067,36,695,1,0,0.4659332267407988,12.234548704623574,RENT,other,0,0
52,33941,37805,12,720,9,0,0.12795988146518272,8.918354565817395,RENT,home_improvement,1,0
44,92146,4353,60,653,8,0,0.34916954612505957,2.220750007989915,RENT,medical,1,0
61,26663,25451,12,577,9,0,0.48039936560693175,4.61226643035232,OWN,other,3,0
69,31047,33097,48,613,5,0,0.07178203228087465,7.1014814211313855,RENT,debt_consolidation,2,0
69,38990,13060,36,677,13,0,0.34034113378405895,13.692075382570208,OWN,debt_consolidation,2,0
32,34610,4284,12,795,14,1,0.1676323338825158,4.63237184858847,RENT,debt_consolidation,2,0
59,111474,12122,36,611,4,1,0.2537649644675701,0.0,RENT,home_improvement,1,0
22,24756,42913,36,714,1,0,0.05,9.20283451745594,MORTGAGE,debt_consolidation,2,0
23,39040,45762,60,623,9,2,0.5589101178132541,3.2220087582800057,MORTGAGE,major_purchase,2,0
69,59828,15776,24,658,14,3,0.2966256308894731,0.5734934021251572,MORTGAGE,debt_consolidation,0,0
57,83175,6113,48,771,4,0,0.22892122039461282,7.094015064129192,RENT,debt_consolidation,3,0
69,39020,53675,12,711,4,0,0.3992400568185725,11.864338209041517,RENT,debt_consolidation,2,0
37,15508,25764,24,550,4,0,0.19365346509691259,4.130597301694905,MORTGAGE,home_improvement,1,0
69,44798,6443,60,604,2,0,0.17941332066780588,9.482869435913148,RENT,medical,0,0
22,110328,17571,24,750,12,0,0.5765493754720591,10.409568315212164,MORTGAGE,other,0,0
22,58064,16939,36,661,11,0,0.6212994542490198,10.958982468333144,OWN,medical,1,0
48,56491,8026,36,558,13,1,0.2611904491576277,3.3386384519069923,MORTGAGE,debt_consolidation,1,0
43,25904,17649,48,584,4,0,0.5101032064874269,1.394589710333073,OWN,home_improvement,2,0
57,24357,32368,12,706,2,0,0.40340606659821293,2.0762344752070243,RENT,debt_consolidation,0,0
52,49554,10540,12,729,8,2,0.13792530624344757,10.95487336061235,RENT,debt_consolidation,0,0
53,20830,35123,60,651,7,1,0.21078021592253224,10.33696577335406,MORTGAGE,home_improvement,1,0
21,78340,3280,48,848,11,0,0.5826649698795403,2.2142469964983267,MORTGAGE,debt_consolidation,3,0
39,29496,78795,12,715,10,1,0.13598074507637348,17.66322013171818,RENT,debt_consolidation,4,0
22,48300,13986,36,630,2,0,0.6921499007112288,1.618180167064173,RENT,debt_consolidation,0,0
64,15812,31521,48,584,14,0,0.2642956736132331,11.99732042350363,RENT,other,0,0
46,38704,15912,24,572,2,0,0.5871222359439849,14.598327196026055,OWN,major_purchase,0,0
52,24064,6913,48,676,2,0,0.30416543080357444,7.548788029966822,RENT,debt_consolidation,0,0
26,12171,12976,48,610,1,0,0.4699855387251727,3.1513807820958455,MORTGAGE,other,1,0
52,67853,2899,12,783,13,0,0.5592549710181033,3.260609862758267,OWN,other,1,0
24,131228,23172,60,767,6,0,0.5584930726521514,5.68954899818563,MORTGAGE,medical,4,0
31,96537,15599,60,700,6,1,0.2623451703810544,12.404353890340166,MORTGAGE,major_purchase,1,0
37,73792,11461,12,555,1,0,0.22139178501513104,1.000620936500762,RENT,debt_consolidation,2,0
58,38235,24395,12,596,11,0,0.3378181985373297,0.0,RENT,debt_consolidation,3,0
44,79501,13766,12,750,1,1,0.15492805684490327,8.810274952846518,MORTGAGE,home_improvement,2,1
25,102161,21708,60,604,6,0,0.38588962634158375,9.908063756295402,OWN,other,1,0
54,53214,28849,12,739,11,0,0.2268805021583727,16.83984723399634,RENT,major_purchase,0,0
26,24085,8609,24,687,6,0,0.5124064660314374,0.08840512366634634,MORTGAGE,debt_consolidation,3,0
42,36328,6847,24,654,4,1,0.26448313756727926,6.325966940188808,OWN,home_improvement,0,0
31,136164,3367,36,593,3,2,0.08866115457799695,12.80918716060239,RENT,home_improvement,3,1
68,46870,14735,24,642,14,1,0.5601372164253944,7.604310838013658,OWN,medical,1,0
36,6668,19181,48,665,9,0,0.3775052004997795,6.022804054692379,MORTGAGE,debt_consolidation,0,0
53,20305,4633,36,732,6,1,0.354370233563011,10.949527484647707,RENT,major_purchase,0,0
29,37999,41618,24,579,1,0,0.5141592177419314,4.003055178967009,RENT,debt_consolidation,2,0
26,91262,6919,48,628,3,0,0.4807364753447235,11.257054209770743,RENT,debt_consolidation,1,0
36,41611,2482,24,653,1,0,0.23572196839843618,0.7321840390486223,MORTGAGE,major_purchase,1,0
49,92287,44172,48,703,3,1,0.28253275909607595,0.0,MORTGAGE,debt_consolidation,1,0
23,35749,2756,12,577,2,0,0.18305671249109928,5.632059905438348,RENT,major_purchase,0,0
40,15084,28892,48,544,5,0,0.1303321917312777,0.0,MORTGAGE,debt_consolidation,2,0
56,36499,23787,12,703,3,1,0.4367888802373084,7.423498183564516,RENT,other,1,0
39,60292,17251,48,528,7,2,0.40882764650625225,0.0,OWN,medical,2,0
46,57363,8793,48,752,8,0,0.46412438172837744,8.412102602831885,MORTGAGE,debt_consolidation,0,0
23,23084,19975,24,637,7,0,0.5422408162243914,7.927297190584727,OWN,major_purchase,1,0
39,39706,30908,48,526,2,2,0.46617121923885085,6.660188069175914,MORTGAGE,debt_consolidation,4,1
40,245439,6071,24,611,10,1,0.47951892144578867,9.18204333769046,MORTGAGE,major_purchase,0,0
52,23389,29175,48,680,10,0,0.05,8.020987343070436,RENT,debt_consolidation,1,0
27,72870,28133,60,607,7,0,0.30395221371125086,5.5349969833436425,MORTGAGE,debt_consolidation,1,0
61,13932,16889,36,651,10,0,0.49468647420049805,16.15503490238566,RENT,other,0,0
53,82312,8687,24,709,3,0,0.1747686895692175,8.966553467762214,OWN,debt_consolidation,1,0
60,28698,28236,24,633,7,0,0.3637507074256645,10.859540436554388,OWN,home_improvement,1,1
59,62395,20063,12,575,1,0,0.4279196660920259,12.365398719862963,MORTGAGE,debt_consolidation,0,0
38,22585,5926,60,626,2,0,0.41642802407577295,10.340746895210449,RENT,major_purchase,0,0
60,58367,9957,12,763,12,0,0.40531944619374494,17.314164594624025,MORTGAGE,debt_consolidation,1,0
21,28418,25725,60,784,10,1,0.43983690785683627,7.830034424105981,MORTGAGE,debt_consolidation,3,0
31,31919,14642,60,488,1,0,0.37711158423923286,6.965193270819694,RENT,debt_consolidation,0,1
48,63907,31849,48,737,9,0,0.130560768891348,3.7521395609669232,MORTGAGE,debt_consolidation,1,0
45,37864,10164,12,670,13,1,0.426043330310524,5.718630317200091,RENT,other,0,0
43,61588,6003,36,723,13,0,0.39271198408306157,3.343877154744189,RENT,other,2,0
51,43717,77256,60,605,2,0,0.13253773237168195,10.386059565007697,MORTGAGE,medical,1,0
50,51046,3481,60,508,2,0,0.5569602816629856,2.4384187634068084,RENT,debt_consolidation,1,0
62,64026,8956,24,696,6,2,0.430075654962206,7.368960849490639,OWN,debt_consolidation,1,0
55,39735,16710,48,574,7,4,0.1429477518533812,9.797734671511876,OWN,home_improvement,2,1
27,26967,29403,36,538,14,0,0.22741622540417744,7.751619432976105,RENT,other,2,0
36,35618,22407,60,544,13,1,0.265392193738073,2.5204256221503654,MORTGAGE,home_improvement,2,0
46,100416,84881,24,698,2,0,0.2652854841799027,10.494724570029923,RENT,debt_consolidation,0,0
68,52559,12160,12,661,14,2,0.39395752832276626,6.573301457320264,RENT,medical,1,0
69,29527,6644,60,712,4,3,0.2035472373412607,0.0,MORTGAGE,debt_consolidation,1,0
22,62376,11206,24,703,3,0,0.5192205120682901,2.083241547083067,MORTGAGE,medical,2,0
21,64925,10342,12,616,13,1,0.5068705177051986,14.005661182013665,OWN,other,1,0
68,66969,12649,48,644,5,0,0.4428975964399384,14.421609207573422,RENT,other,0,0
32,27263,6087,12,609,9,0,0.35663626630907763,9.63055605032599,RENT,debt_consolidation,5,0
25,32551,25015,60,633,2,2,0.49061712727273055,10.920344884791653,MORTGAGE,home_improvement,1,0
57,32659,17973,36,572,13,0,0.3086078415793986,3.108530093710676,RENT,home_improvement,2,0
52,39482,4860,12,681,5,0,0.2413266707925186,5.699277906304705,RENT,debt_consolidation,1,0
29,67734,28981,36,736,8,1,0.5285164468429611,13.176833002298187,MORTGAGE,home_improvement,1,0
61,58554,6980,36,584,6,2,0.3976314135528514,9.12957621281037,RENT,home_improvement,1,0
55,61397,5186,12,752,4,1,0.24739135391279124,7.324741919435259,RENT,debt_consolidation,3,0
